stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"2028","2028","La Coulée","Cesson-Sévigné","48.123463","-1.604091","","","0","","","1"
"2029","2029","Bourgchevreuil","Cesson-Sévigné","48.123131","-1.600719","","","0","","","1"
"2030","2030","Petits Champs","Cesson-Sévigné","48.124795","-1.596767","","","0","","","1"
"2032","2032","Charmilles","Cesson-Sévigné","48.106229","-1.621342","","","0","","","1"
"2033","2033","Bas Village","Cesson-Sévigné","48.101330","-1.623467","","","0","","","1"
"2034","2034","Forum","Cesson-Sévigné","48.099569","-1.621217","","","0","","","1"
"2035","2035","Forum","Cesson-Sévigné","48.099670","-1.620857","","","0","","","1"
"2036","2036","Bas Village","Cesson-Sévigné","48.101206","-1.624003","","","0","","","1"
"2037","2037","Erbonière","Cesson-Sévigné","48.106038","-1.625652","","","0","","","1"
"2038","2038","Haut Grippé","Cesson-Sévigné","48.114941","-1.590874","","","0","","","1"
"2039","2039","Bordage","Cesson-Sévigné","48.114462","-1.600472","","","0","","","1"
"2040","2040","Chalotais","Cesson-Sévigné","48.116167","-1.600377","","","0","","","1"
"2041","2041","Cesson Collège","Cesson-Sévigné","48.120514","-1.599543","","","0","","","1"
"2042","2042","Les Lacs","Cesson-Sévigné","48.124644","-1.613102","","","0","","","1"
"2043","2043","Cormier","Cesson-Sévigné","48.124354","-1.618478","","","0","","","1"
"2044","2044","Belle Fontaine","Cesson-Sévigné","48.127362","-1.624310","","","0","","","1"
"2045","2045","Atalante","Cesson-Sévigné","48.127350","-1.628341","","","0","","","1"
"2046","2046","Atalante","Cesson-Sévigné","48.127310","-1.627900","","","0","","","1"
"2047","2047","Belle Fontaine","Cesson-Sévigné","48.127213","-1.623967","","","0","","","1"
"2048","2048","Cormier","Cesson-Sévigné","48.124466","-1.617618","","","0","","","1"
"2049","2049","Les Lacs","Cesson-Sévigné","48.124436","-1.614097","","","0","","","1"
"2050","2050","Cesson Collège","Cesson-Sévigné","48.120244","-1.599275","","","0","","","1"
"2051","2051","Chalotais","Cesson-Sévigné","48.115847","-1.600734","","","0","","","1"
"2052","2052","Lycée Ozanam","Cesson-Sévigné","48.131149","-1.597037","","","0","","","1"
"2054","2054","Métairies Chalotais","Cesson-Sévigné","48.123129","-1.601975","","","0","","","1"
"2055","2055","Cesson Piscine","Cesson-Sévigné","48.119961","-1.602179","","","0","","","1"
"2056","2056","Cesson Mairie","Cesson-Sévigné","48.118557","-1.604529","","","0","","","1"
"2057","2057","Cesson Gare","Cesson-Sévigné","48.113861","-1.603295","","","0","","","1"
"2058","2058","Peupliers","Cesson-Sévigné","48.112672","-1.607707","","","0","","","1"
"2059","2059","Monniais","Cesson-Sévigné","48.109302","-1.609073","","","0","","","1"
"2060","2060","Rond Point de Bray","Cesson-Sévigné","48.107773","-1.614819","","","0","","","1"
"2061","2061","Charmilles","Cesson-Sévigné","48.106515","-1.621243","","","0","","","1"
"2062","2062","Rond Point de Bray","Cesson-Sévigné","48.107771","-1.614065","","","0","","","1"
"2063","2063","Monniais","Cesson-Sévigné","48.108743","-1.609630","","","0","","","1"
"2064","2064","Peupliers","Cesson-Sévigné","48.112545","-1.607241","","","0","","","1"
"2065","2065","Cesson Gare","Cesson-Sévigné","48.113984","-1.603204","","","0","","","1"
"2066","2066","Cesson Mairie","Cesson-Sévigné","48.118312","-1.604191","","","0","","","1"
"2067","2067","Cesson Piscine","Cesson-Sévigné","48.120381","-1.602371","","","0","","","1"
"2068","2068","Métairies Chalotais","Cesson-Sévigné","48.123149","-1.601730","","","0","","","1"
"2070","2070","Victoire","Cesson-Sévigné","48.145148","-1.608661","","","0","","","1"
"2071","2071","Calendrou","Cesson-Sévigné","48.140415","-1.616907","","","0","","","1"
"2072","2072","Calendrou","Cesson-Sévigné","48.140592","-1.616329","","","0","","","1"
"2073","2073","Victoire","Cesson-Sévigné","48.145118","-1.608407","","","0","","","1"
"2074","2074","Mare Pavée","Cesson-Sévigné","48.123547","-1.611239","","","0","","","1"
"2075","2075","Mare Pavée","Cesson-Sévigné","48.123363","-1.611301","","","0","","","1"
"2079","2079","Verger","Cesson-Sévigné","48.128860","-1.605971","","","0","","","2"
"2083","2083","Gaudais","Cesson-Sévigné","48.126951","-1.614326","","","0","","","1"
"2084","2084","Verger","Cesson-Sévigné","48.129030","-1.604741","","","0","","","2"
"2085","2085","Champelé","Cesson-Sévigné","48.116152","-1.582472","","","0","","","1"
"2086","2086","Bordage","Cesson-Sévigné","48.114279","-1.600415","","","0","","","1"
"2089","2089","Rigourdière","Cesson-Sévigné","48.113572","-1.590520","","","0","","","1"
"2091","2091","Lycée Sévigné","Cesson-Sévigné","48.119072","-1.597622","","","0","","","1"
"2101","2101","Village Collectivités","Cesson-Sévigné","48.131755","-1.597946","","","0","","","1"
"2102","2102","Erbonière","Cesson-Sévigné","48.106174","-1.625330","","","0","","","1"
"2103","2103","Rigourdière","Cesson-Sévigné","48.113318","-1.590040","","","0","","","1"
"2104","2104","Haut Grippé","Cesson-Sévigné","48.115009","-1.589873","","","0","","","1"
"2106","2106","Champelé","Cesson-Sévigné","48.116039","-1.582351","","","0","","","1"
"2107","2107","Ménouriais","Cesson-Sévigné","48.099651","-1.603046","","","0","","","1"
"2110","2110","Touche sur Roche","Cesson-Sévigné","48.097628","-1.586757","","","0","","","2"
"2111","2111","Touche sur Roche","Cesson-Sévigné","48.097971","-1.586888","","","0","","","2"
"2112","2112","Chêne Germain","Cesson-Sévigné","48.130776","-1.622892","","","0","","","1"
"2113","2113","Chêne Germain","Cesson-Sévigné","48.130847","-1.623234","","","0","","","1"
"2114","2114","Château de Vaux","Cesson-Sévigné","48.137464","-1.622252","","","0","","","1"
"2115","2115","Château de Vaux","Cesson-Sévigné","48.137472","-1.621986","","","0","","","1"
"2119","2119","Prieuré Forge","Cesson-Sévigné","48.108229","-1.580927","","","0","","","2"
"2120","2120","Prieuré Forge","Cesson-Sévigné","48.108133","-1.580865","","","0","","","2"
"2121","2121","Longs Champs Est","Cesson-Sévigné","48.130368","-1.631314","","","0","","","1"
"2122","2122","Buisson","Cesson-Sévigné","48.104854","-1.630169","","","0","","","1"
"2123","2123","Buisson","Cesson-Sévigné","48.104604","-1.630415","","","0","","","1"
"2128","2128","Ménouriais","Cesson-Sévigné","48.099769","-1.603037","","","0","","","2"
"2129","2129","Atalante","Rennes","48.127670","-1.629021","","","0","","","1"
"2130","2130","Château Monniais","Cesson-Sévigné","48.108236","-1.600505","","","0","","","2"
"2131","2131","Cesson - Viasilva","Cesson-Sévigné","48.132640","-1.619962","","","0","","","1"
"2133","2133","Cesson - Viasilva","Cesson-Sévigné","48.132452","-1.619844","","","0","","","1"
"2136","2136","Cesson - Viasilva","Cesson-Sévigné","48.132652","-1.620511","","","0","","","1"
"2137","2137","Cesson - Viasilva","Cesson-Sévigné","48.132422","-1.620115","","","0","","","1"
